,melanoma,nevus,seborrheic_keratosis
ISIC_0012258.jpg,0.015336337499320507,0.1017492339015007,0.8829144239425659
ISIC_0012356.jpg,0.02295706607401371,0.04100847244262695,0.9360344409942627
ISIC_0012369.jpg,0.8394156694412231,0.14014248549938202,0.020441897213459015
ISIC_0012395.jpg,0.6234943270683289,0.3764871060848236,1.860193515312858e-05
ISIC_0012425.jpg,0.0980285108089447,0.8935285806655884,0.008442997932434082
ISIC_0012758.jpg,0.5858188271522522,0.414181113243103,5.0836291620726115e-08
ISIC_0012989.jpg,0.17685990035533905,0.8231374025344849,2.7819405659101903e-06
ISIC_0013072.jpg,0.6427812576293945,0.20364956557750702,0.15356910228729248
ISIC_0013073.jpg,0.8423698544502258,0.127298966050148,0.030331149697303772
ISIC_0013242.jpg,0.6540586352348328,0.3411257266998291,0.0048156664706766605
ISIC_0013277.jpg,0.018124336376786232,0.9818670749664307,8.501114280079491e-06
ISIC_0013321.jpg,0.35617995262145996,0.37256497144699097,0.2712550461292267
ISIC_0013374.jpg,0.9429681897163391,0.042825330048799515,0.014206546358764172
ISIC_0013411.jpg,0.65462327003479,0.04767470434308052,0.29770201444625854
ISIC_0013414.jpg,0.1142660602927208,0.8856227397918701,0.00011120502313133329
ISIC_0013455.jpg,0.9770209193229675,0.022976279258728027,2.8076290163880913e-06
ISIC_0013457.jpg,0.898218035697937,0.10085468739271164,0.0009272431489080191
ISIC_0013459.jpg,0.8235288858413696,0.16669273376464844,0.009778322651982307
ISIC_0013472.jpg,0.5245943665504456,0.4720562994480133,0.003349339822307229
ISIC_0013473.jpg,0.9972892999649048,0.0026354899164289236,7.522500527556986e-05
ISIC_0013565.jpg,0.07051201909780502,0.041831124573946,0.8876569271087646
ISIC_0013577.jpg,0.8796095252037048,0.11659373342990875,0.0037968335673213005
ISIC_0013588.jpg,0.740977942943573,0.177018404006958,0.0820036381483078
ISIC_0013615.jpg,0.9876067042350769,0.012393069453537464,2.1831570506947173e-07
ISIC_0013617.jpg,0.01838475838303566,0.5141184329986572,0.467496782541275
ISIC_0013636.jpg,0.9699469804763794,0.03005284257233143,7.368632282123144e-08
ISIC_0013678.jpg,0.7370746731758118,0.1914222538471222,0.07150308787822723
ISIC_0013696.jpg,0.03472235053777695,0.9647627472877502,0.0005148996133357286
ISIC_0013733.jpg,0.8803724050521851,0.11960509419441223,2.2593512767343782e-05
ISIC_0013739.jpg,0.5869689583778381,0.1693715900182724,0.24365943670272827
ISIC_0013766.jpg,0.535210132598877,0.46473410725593567,5.5791362683521584e-05
ISIC_0013767.jpg,0.9248577952384949,0.0698188990354538,0.005323274526745081
ISIC_0013813.jpg,0.24279777705669403,0.0019424883648753166,0.7552597522735596
ISIC_0013814.jpg,0.997984766960144,0.0019925269298255444,2.269220021844376e-05
ISIC_0013833.jpg,0.998694121837616,0.0011399831855669618,0.0001659699046285823
ISIC_0013842.jpg,0.24341978132724762,0.7495543956756592,0.007025829516351223
ISIC_0013867.jpg,0.6510975360870361,0.21487697958946228,0.1340254545211792
ISIC_0013908.jpg,0.9341520667076111,0.06582160294055939,2.6355573936598375e-05
ISIC_0013917.jpg,0.5155658721923828,0.39728882908821106,0.0871453583240509
ISIC_0013925.jpg,0.04005366191267967,0.04552039876580238,0.9144259691238403
ISIC_0013948.jpg,0.9539352655410767,0.04592163488268852,0.00014322555216494948
ISIC_0013953.jpg,0.9097961783409119,0.08845997601747513,0.0017438506474718451
ISIC_0013987.jpg,0.7161056995391846,0.2819623649120331,0.001931948820129037
ISIC_0013988.jpg,0.9257793426513672,0.055085718631744385,0.01913495920598507
ISIC_0014027.jpg,0.013353402726352215,0.7291698455810547,0.2574767768383026
ISIC_0014059.jpg,0.1724085509777069,0.8275567889213562,3.465458212303929e-05
ISIC_0014077.jpg,0.9156034588813782,0.0796680822968483,0.004728381987661123
ISIC_0014103.jpg,0.30513834953308105,0.6914206147193909,0.003441023174673319
ISIC_0014110.jpg,0.34015974402427673,0.5871569514274597,0.07268334180116653
ISIC_0014129.jpg,0.9820463061332703,0.017947016283869743,6.717675205436535e-06
ISIC_0014148.jpg,0.9782580733299255,0.02172665111720562,1.527716995042283e-05
ISIC_0014160.jpg,0.966562807559967,0.032520998269319534,0.000916243065148592
ISIC_0014181.jpg,0.9921243786811829,0.007655721623450518,0.0002198232978116721
ISIC_0014186.jpg,0.0012853151420131326,0.0005652070976793766,0.9981495141983032
ISIC_0014219.jpg,0.9412186145782471,0.058197982609272,0.0005834284820593894
ISIC_0014221.jpg,0.7906712293624878,0.20734935998916626,0.0019794784020632505
ISIC_0014233.jpg,0.12201297283172607,0.002825194038450718,0.8751618266105652
ISIC_0014255.jpg,0.08553211390972137,0.8839728236198425,0.030495082959532738
ISIC_0014270.jpg,0.8941113352775574,0.10588802397251129,6.181372214086878e-07
